de	the
verklaring	statement
brand	fire
vrijwel	almost
moord	murder
verbeteren	to improve
toenemen	to increase
maal	1) time 2) meal
oorzaak	cause
effect	a) effect b) share
principe	principle
klagen	to complain
schrijver	writer
zogenaamd	so-called
geheel	whole
tijdelijk	temporary
scherp	sharp
respect	esteem
zowat	about
streng	severe
voorwaarde	condition
kunst	art
inzetten	to bring into action
aanvankelijk	initial
leger	army
bewijs	proof
zakken	a) to drop b) to fail
bereid	prepared, ready
twijfel	doubt
vrijheid	freedom
combinatie	combination
geheel	whole
vaststellen	to determine
meerder	more
klassiek	classic
verspreiden	to spread
thema	theme
voegen	to add
gegeven	fact, data
conclusie	conclusion
veertig	forty
vlak	plane
ziekte	disease
karakter	character
overnemen	to take over
beleven	to go through
jarenlang	for years and years
afdeling	department
schijnen	to appear
behouden	to keep
advies	advice
aanval	attack
akkoord	a) agreement b) chord
journalist	journalist
gisteravond	last night
drijven	to float
verantwoordelijkheid	responsibility
zestig	sixty
materiaal	material
opleiding	training
verwachting	expectation
waarna	after which
straf	punishment
droom	dream
ideaal	ideal
rechtstreeks	direct
uitgebreid	extensive
kader	frame(work)
vlucht	a) flight b) escape
tegenstelling	contrast
seconde	second
puur	pure
pagina	page
zelden	rarely
bedanken	to thank
noodzakelijk	necessary
uitstekend	excellent
gedrag	behaviour
overleven	to survive
plaatsvinden	to take place
uiterst	extremely
vermoedelijk	supposed, suspected
voortaan	henceforth
uitmaken	a) to decide b) to break up
reizen	to travel
vechten	to fight
logisch	logical
vermoeden	to presume
creëren	to create
interview	interview
bord	plate
generatie	generation
sindsdien	since
zone	zone
huwelijk	marriage
vermoorden	to murder
commentaar	comment
computer	computer
medisch	medical
tenslotte	after all
gebeurtenis	event
gedurende	during
instelling	a) institution b) attitude
fel	fierce
papier	paper
energie	energy
weliswaar	admittedly
vermijden	to avoid
gerust	calm
val	fall
wapen	weapon
eiland	island
kern	core
verzekeren	to ensure, to assure
maatschappelijk	social
stijl	style
typisch	typical
verwijderen	to remove
debat	debate
eis	requirement
meenemen	to take
menselijk	human
verzorgen	to care for
zekerheid	certainty
eer	honour
sector	sector
restaurant	restaurant
ster	star
trots	proud
verbieden	to prohibit
getuige	witness
aanpakken	to tackle
toegang	access
zuiden	south
aangeven	to hand
waarheid	truth
effectief	effective
versterken	to strengthen
uitzondering	exception
veertien	fourteen
auteur	author
model	a) model b) model (person)
scheiden	to separate
alsnog	yet
concreet	concrete
komst	advent
buur	neighbour
gouden	gold
welkom	welcome
afhankelijk	dependent
letterlijk	literal
museum	museum
smaak	taste
snelheid	speed
individueel	individual
hiermee	herewith
elders	elsewhere
acteur	actor
uitleg	explanation
aantrekken	to put on
arts	physician
overleg	consultation
aansluiten	to connect
lossen	to unload
degene	the one, those
dom	stupid
centimeter, cm	centimetre
vertonen	to show
detail	detail
geschikt	suitable
spanning	tension
hotel	hotel
instantie	body, organization
destijds	at the time
wetenschappelijk	scientific
noorden	north
fietsen	to cycle
concert	concert
voorkeur	preference
bezit	possession
passeren	to pass
werkelijkheid	reality
fantastisch	fantastic
spannend	exciting
argument	argument
streek	a) region b) trick
moe	tired
begeleiden	to accompany, to coach
belangstelling	interest
houding	attitude
oproepen	to call
toegeven	to admit
zestien	sixteen
vangen	to catch
wens	wish
jezelf	yourself
massaal	massive
vermelden	to mention
wandelen	to walk
interesse	interest
voorstelling	performance
fase	phase
bijkomen	a) to add b) to come round
vliegtuig	plane
nood	distress
betekenis	meaning
beroemd	famous
optreden	action, performance
behandeling	treatment
ervaren	to experience
aanvaarden	to accept
kijker	viewer
verblijven	to stay
aanbod	offer
mislukken	to fail
plant	plant
traditie	tradition
verwerken	to process
verhouding	a) ratio b) affair
belasting	tax
arm	poor
specifiek	specific
zichtbaar	visible
pers	a) press (journalists) b) press
hoeveelheid	quantity
kantoor	office
zetel	seat
noch	nor
standpunt	position
dringend	urgent
gedragen (zich)	to behave
uitspreken	to pronounce
professioneel	professional
exemplaar	copy
aanwezigheid	presence
goedkeuren	to approve
toelaten	to allow
toevoegen	to add
voorbereiden	to prepare
vrouwelijk	female
kwart	quarter
draad	thread
handel	trade
opleggen	to impose
Russisch	Russian
adres	address
interesseren	to interest
zelfstandig	independent
inspanning	effort
patiënt	patient
wetenschap	science
zicht	view
heersen	a) to be b) to dominate
soldaat	soldier
motor	engine, motorcycle
verstaan	to hear, to understand
tekort	shortage
klas	class
ofwel	or
praktisch	practical
uitslag	result
waaraan	at which
uitbreiden	to expand
landelijk	national
doden	to kill
meedoen	to participate
qua	qua
achttien	eighteen
kust	coast
schitterend	brilliant
vis	fish
storten	to deposit
anderzijds	on the other hand
brug	bridge
Duitser	German
visie	vision
vandaan	from
vrede	peace
invoeren	to introduce
ongeluk	accident
jagen	to hunt
lezer	reader
opbouwen	to construct
baby	baby
handig	handy
papa	daddy
verschillen	to differ
erover	about
techniek	technique
uitgeven	to spend
verslag	report
gedeelte	section
geheim	secret
enthousiast	enthusiastic
wegen	to weigh
koop	buy
voren	forward
vluchten	to flee
constant	constant
overwegen	to consider
schatten	to estimate
vergadering	meeting
camera	camera
element	element
gevoelig	sensitive
boot	boat
plus	plus
test	test
voorspellen	to predict
nauw	tight
schuldig	guilty
combineren	to combine
noteren	to note
scheppen	a) to shovel b) to create
beperkt	limited
kwartier	quarter (of an hour)
blok	block
wisselen	to exchange
boer	farmer
grondig	thorough
aanvallen	to attack
bod	offer
pad	1) path 2) toad
ambtenaar	civil servant
gezien	considering
handelen	to act
ingaan	to enter
prins	prince
daarentegen	on the other hand
ondergaan	to undergo
ondersteunen	to support
opening	opening
pijnlijk	painful
eten	food
graad	degree
juridisch	juridical
as	a) axis b) ash
benoemen	to appoint
norm	norm
wild	wild
aantreffen	to find
afnemen	to take (away)
kritisch	critical
verzoek	request
bestellen	to order
confronteren	to confront
troep	a) army b) mess
vals	FALSE
à	to
beslag	a) batter b) fittings
volwassen	adult
meester	master
gezondheid	health
hof	court
tenzij	unless
verminderen	to reduce
blazen	to blow
vertalen	to translate
overig	remaining
vlug	quick
automatisch	automatic
correct	correct
omgaan	to handle
toepassen	to apply
afspreken	to arrange
diezelfde	the very same
meten	to measure
binden	to bind
veroveren	to conquer
verzet	resistance
gezamenlijk	joint
aantrekkelijk	attractive
drug	drug
milieu	environment
signaal	signal
ondernemen	to undertake
vak	field, profession
vreselijk	terrible
aanleggen	to build
ontwerpen	to design
stelling	a) proposition b) scaffolding
bestaan	existence
appartement	apartment
cent	cent
pensioen	pension
samenwerken	to collaborate
scherm	screen
intern	internal
park	park
opmerken	to notice
mengen	to mix
schelen	to care
kapot	broken
onderling	mutual
belachelijk	ridiculous
doorgaans	usually
ramp	disaster
vervelend	annoying
achten	to deem
inkomen	income
nadeel	disadvantage
koken	to cook
opname	shot, recording
aanspreken	a) to address b) to appeal to
klimmen	to climb
nabij	near
afleggen	to do
bescherming	protection
evenveel	same
hoogtepunt	peak, highlight
roman	novel
theater	theatre
prettig	nice
spijtig	regrettable
uitsluiten	to exclude
verwijten	to blame
omkeren	to reverse
opgeven	a) to give b) to give up
sparen	to save
tijdschrift	magazine
garanderen	to guarantee
integendeel	(on the) contrary
rit	ride
waarover	about which
zijde, zij	side
agenda	diary, agenda
beantwoorden	to answer
plat	flat
stimuleren	to stimulate
betrekking	relation
drank	drink
geheim	secret
lokken	to lure
loon	wage
ongelooflijk	incredible
kilo	kilo
pot	pot
daad	act
ei	egg
regen	rain
vermogen	a) power b) fortune
schrik	fright
storen	to disturb
ondervinden	to experience
trachten	to attempt
uitzending	broadcast
vanzelf	automatically
haven	harbour
professor	professor
aangenaam	pleasant
bestrijden	to dispute
katholiek	Catholic
verbazen	to surprise
waaruit	from which
daaraan	thereto
koningin	queen
oefenen	to practise, to exercise
onderscheiden	to distinguish
opkomen	a) to come up b) to fight for
pikken	a) to pinch b) to tolerate
vastleggen	to fix
fabriek	factory
uitsluitend	exclusively
slikken	to swallow
vierkant	square
krachtig	powerful
theorie	theory
terugkeer	return
dikwijls	often
innemen	a) to swallow b) to take up
leraar	teacher
tempo	pace
toeval	coincidence
streep	stripe
geboorte	birth
kortom	in short
wil	will
koppelen	to couple
paal	pole
structuur	structure
toerist	tourist
uitvoering	implementation
inzicht	insight
kat	cat
tweemaal	twice
verplaatsen	to move
echtgenote	wife
letter	letter
schaal	a) dish b) scale
afwachten	to wait
bibliotheek	library
althans	at least
huren	to rent
kamp	camp
voedsel	food
zwanger	pregnant
arbeider	worker
excuus	excuse
midden	in the middle of
raden	to guess
negeren	to ignore
ophalen	a) to collect b) to pull up
accepteren	to accept
aspect	aspect
bodem	bottom
stom	stupid
aard	nature
concentreren (zich)	to concentrate
landschap	landscape
verwerven	to acquire
wekelijks	weekly
literatuur	literature
cadeau	gift
lengte	length
document	document
onzin	nonsense
temperatuur	temperature
terechtkomen	to land
bezwaar	objection
christelijk	Christian
nogmaals	again
vervoer	transport
onderweg	on the way
strand	beach
zwemmen	to swim
gewicht	weight
toestemming	permission
vernietigen	to destroy
evenwicht	balance
stroom	a) flow b) stream c) electricity
zeventien	seventeen
kring	circle
toepassing	application
vijand	enemy
staatssecretaris	Secretary of State
gunstig	favourable
reclame	advertisement
doek	cloth
oordeel	judgement
pand	property
vlag	flag
toestel	appliance
gedicht	poem
ingang	entrance
olie	oil
schilderij	painting
college	lecture
plein	square
datum	date
emotioneel	emotional
strijden	to fight
uitzonderlijk	exceptional
verlenen	to grant
vers	fresh
duur	duration
goud	gold
bovenop	on top
trappen	a) to kick b) to cycle
hierover	about this
bezetten	a) to occupy b) to set
boel	lot
fris	fresh
staken	a) to cease b) to strike c) to tie
verrichten	to perform
gunnen	to grant
methode	method
vergroten	to enlarge
status	status
massa	mass
random	all round
ton	a) barrel b) 1000 kilo c) 100,000 euro
e-mail	e-mail
functioneren	to function
nuttig	useful
tocht	tour
aandoen	a) to cause b) to put on
realiteit	reality
aanvullen	to complement
dodelijk	lethal
verstand	head
bevallen	a) to please b) to give birth
uiten	to express
begeleiding	supervision
gedeeltelijk	partial
registreren	to register
afbreken	to break off/down
informeren	to inform
permanent	permanent
daartoe	~ to it
agressief	aggressive
heus	real
lenen	a) to borrow b) to lend
onschuldig	innocent
opvangen	a) to take care of b) to catch
vervullen	to fulfil
zenden	to send
afronden	a) to round up b) to finish
familielid	relative
namiddag	(late) afternoon
seksueel	sexual
bak	container
ondertekenen	to sign
aanwijzen	to show to
beest	beast
verzetten	to move
bakken	to bake
verkeren	to be
hallo	hello
overblijven	a) to remain b) to stay behind
voornaam	a) prominent b) main
bijten	to bite
minimaal	minimum
totdat	until
vernemen	to learn
held	hero
meid	girl
daaruit	from it
regeling	regulation
ring	ring
terugvinden	to find again
verbetering	improvement
vervolg	continuation, sequel
humor	humour
omvatten	to include
vasthouden	to hold
onderhouden	to maintain
avontuur	adventure
beheersen	to command
vanzelfsprekend	obvious
varen	to sail
constateren	to ascertain
inrichten	to furnish
louter	mere
verderop	further down
begraven	to bury
gerucht	rumour
machine	machine
symbool	symbol
bocht	curve, bend
instrument	instrument
spontaan	spontaneous
cursus	course
middelbaar	a) middle b) secondary
bevoegdheid	authority
exact	exact
maximum	maximum
seks	sex
studio	studio
gans	whole
invullen	to fill in
bende	gang
gigantisch	gigantic
mannelijk	male
communicatie	communication
lelijk	ugly
afkomst	origin
bestuderen	to study
hoogleraar	professor
gevecht	fight
identiteit	identity
overdag	by day
passagier	passenger
schakelen	to switch
stemming	a) vote b) mood
aanvragen	to request, to apply for
duidelijkheid	clearness
inspireren	to inspire
instellen	to set
alcohol	alcohol
creatief	creative
hetgeen	that which, what
gsm	mobile phone
rondlopen	to walk about
aanbrengen	to apply
langdurig	prolonged
afvragen	to wonder
beoordelen	to judge
trouw	faithful
afschaffen	to abolish
intensief	intensive
personage	person, character
verlagen	to lower
wijden	to devote
zwembad	swimming pool
ingewikkeld	complicated
overdreven	overdone
pauze	break, half-time
verstandig	wise
vertrouwen	to trust
afleiden	a) to distract b) to deduce
gas	gas
leerkracht	teacher
opeens	suddenly
paniek	panic
verzinnen	to invent
doelstelling	goal
strikt	strict
zodanig	such
bol	sphere
hechten	to attach
kleuren	to colour
tekening	drawing
bom	bomb
boord	collar
uitkijken	to watch
zeldzaam	rare
alleszins	in every way
bedreiging	threat
kleren	clothes
medicijn	drug, medicine
opzet	a) planning, design b) intention
uitbrengen	to publish, to release
collectie	collection
wetgeving	legislation
kleding	clothing
joods	Jewish
kanaal	channel
klimaat	climate
regeren	to reign, to govern
terras	terrace
aanzien	respect
bijeenkomst	meeting
doorbreken	to break through
zuiver	pure
besparen	to save
keuren	to test, to taste
onthouden	to remember
supermarkt	supermarket
aanduiden	to indicate
tent	tent
vermoeden	presumption
evenals	as well as
Grieks	Greek
ingrijpen	to intervene
kasteel	castle
ruil	exchange
bereiden	to prepare
braaf	good
neerleggen	to put down
berekenen	to calculate
moreel	moral
saai	boring
tegenkomen	to encounter
verdrag	treaty
aanwijzing	sign, indication
echtgenoot	husband
suggereren	to suggest
uitwerken	to elaborate
vrucht	fruit
allereerst	first
ruimen	to clean up
voorganger	predecessor
burgerlijk	civil
wapenen (zich)	to arm
adviseren	to advise
boeien	to entertain
Duits	German
gebruikelijk	usual
monument	monument
namens	on behalf of
opsluiten	to lock up
voeden	to feed
gelijk	right
machtig	powerful
misdaad	crime
opduiken	to emerge
aanvraag	application
architect	architect
benaderen	to approach
overtuiging	conviction
scheiding	separation, divorce
bezighouden	to occupy
vleugel	wing
falen	to fail
medaille	medal
omvang	size
straffen	to punish
verblijf	stay
muzikant	musician
vereisen	to require
voorheen	before
wezen	being
blank	white, blank
opvatting	view, opinion
keihard	hard
regenen	to rain
waarderen	to appreciate
fractie	a) ~ party, group b) fraction
gemeenschappelijk	common
generaal	general
ongelukkig	unhappy
opzoeken	to visit
vrijwillig	voluntary
bijeen	together
haat	hate
kip	chicken
literair	literary
aanstellen	to appoint
voorwerp	object
enerzijds	on the one hand
garantie	guarantee
talloos	countless
wandeling	walk
toren	tower
bestemming	destination
openlijk	open, public
uitgever	publisher
zitting	a) seat b) session
armoede	poverty
opmaken	to conclude
wennen	to get used to
gering	slight, little
invoering	introduction
onderscheid	distinction
opbrengen	to yield
bad	bath
prioriteit	priority
protesteren	to protest
allicht	probably
handhaven	to maintain
mail	e-mail
route	route
huisarts	general practitioner
ikzelf	(I) myself
jood	Jew
pc	personal computer
talrijk	numerous
toneel	stage
vies	dirty
zelfmoord	suicide
kassa	cash desk
nadruk	emphasis
pech	bad luck
achterhalen	a) to retrieve, to recover b) to overtake
doorheen	through
garage	garage
bedienen	a) to serve b) to operate
formeel	formal
landbouw	agriculture
loopbaan	career
nader	further
neef	nephew, cousin
toezicht	supervision
verloop	course
veronderstellen	to suppose
geleidelijk	gradual
inhouden	a) to deduct b) to imply
omzetten	to convert
afzien	a) to forgo b) to have a hard time
begaan	to commit
behulp	help
leed	sorrow
opgroeien	to grow up
schoppen	to kick
vertaling	translation
afwijzen	to reject
neerzetten	to put down
proeven	to taste
uiterlijk	appearance
vlakbij	close
zozeer	so much
apparaat	device
duiden	to point at
geliefd	beloved
hooguit	at most
uitgeverij	publisher
voordoen	a) to occur b) to show c) to put on
dialoog	dialogue
mededeling	announcement
overbodig	superfluous
uitroepen	to exclaim, to proclaim
buitenlander	foreigner
aandringen	to insist
context	context
minister-president	prime minister
ontvangst	reception
opvoeding	upbringing
reserveren	to reserve
vervelen (zich)	to be bored
heet	hot
video	video
noodzaak	need
presentatie	presentation
prinses	princess
aangaan	to start
formuleren	to formulate
grof	coarse, gross
uitoefenen	to exercise
enquête	survey
flauw	weak
romantisch	romantic
trui	sweater
poort	gate
uitvallen	to drop/fall out
elektrisch	electric
omringen (zich)	to surround
pop	doll
voortzetten	to continue
vooruitgang	progress
examen	examination
failliet	bankrupt
meewerken	to contribute
melk	milk
actueel	current
eigenschap	property, characteristic
meebrengen	to bring
nut	use
uitgroeien	to grow
vergissen (zich)	to be mistaken
verplichting	obligation
dans	dance
geduld	patience
lichamelijk	physical
verwarren	to confound
achteraan	behind
paren	to mate
perspectief	perspective
uitdelen	to distribute
ultiem	ultimate
inzien	to see
opheffen	a) to lift b) to abolish
liefhebber	lover
afspelen (zich)	to happen
feitelijk	factual
kanker	cancer
pas	a) step b) pass(port)
uitbreken	to break out
volstrekt	absolutely
aanzetten	to encourage
groente	vegetable
koper	1) buyer 2) copper
motief	motive
opleiden	to train
revolutie	revolution
beëindigen	to terminate
kwaad	evil
schilder	painter
verstoppen	to hide
voorop	ahead
afzetten	a) to drop off b) to cheat c) to turn off
belasten	a) to tax b) to overload
diploma	diploma
herhaling	repetition
onderuit	~ sprawled
samenstellen	to compose, to put together
schetsen	to sketch
verhinderen	to prevent
bitter	bitter
boerderij	farm
officier	officer
overgaan	a) to move up b) to pass
ertoe	to
missie	mission
vervallen	to disappear
buitengewoon	exceptional, extraordinary
dank	thanks
hoofdstuk	chapter
opgaan	to merge
terugtrekken	to withdraw
balen	to be fed up with
desnoods	if necessary
kwetsbaar	vulnerable
onzekerheid	uncertainty
proef	test
uitkering	payment, benefit
wiel	wheel
individu	individual
stress	stress
groots	grand, ambitious
lezing	lecture
stilstaan	to stop
toilet	toilet
verzameling	collection
vorderen	a) to claim b) to progress
experiment	experiment
gezondheidszorg	health care
opvoeren	a) to increase b) to stage
pakket	packet
pil	pill
ritme	rhythm
uitschakelen	to eliminate
vergoeding	compensation
pen	pen
reiziger	traveller
salaris	salary
kwetsen	to hurt
meer	more
fundamenteel	fundamental
geestelijk	mental
oma	grandma
storm	storm
vanochtend	this morning
verzekering	insurance
appel	apple
bereikbaar	reachable
chaos	chaos
gezag	authority
onderschatten	to underestimate
zielig	pathetic
desondanks	nevertheless
plicht	duty
betaling	payment
plukken	to pick
vervoeren	to transport
beïnvloeden	to influence
doorlopen	a) to keep on walking b) to go through
duurzaam	durable
fruit	fruit
hobby	hobby
kapitein	captain
luxe	luxury
uitrusten	a) to equip b) to rest
werkzaamheden	activities
wortel	a) carrot b) root
intrekken	a) to retract b) to withdraw
paars	purple
bizar	bizarre
citeren	to quote
voorafgaan	to precede
aansluiting	connection
betrouwbaar	reliable
net	net
verstoren	to disturb
waarschuwing	warning
arbeid	labour
bestemmen	to intend
frustratie	frustration
tegenhouden	to stop
administratie	administration
evolueren	to evolve
nadrukkelijk	emphatic
vet	fat
vloeien	to flow
duivel	devil
herkenbaar	recognizable
verf	paint
financieren	to finance
suggestie	suggestion
greep	grab
tarief	rate
uitkomst	result
kleinkind	grandchild
ontdekking	discovery
vergen	to require
bezetting	a) occupation b) cast
leugen	lie
psychologisch	psychological
jarig	celebrating a birthday
nagenoeg	almost
waardevol	valuable
kelder	basement
optimaal	optimal
opvoeden	to raise
accent	a) accent b) emphasis
doorgeven	to pass on
formule	formula
handicap	handicap
jacht	a) hunt(ing) b) yacht
laag	layer
moordenaar	murderer, killer
passie	passion
som	sum
getal	number
klikken	to click
naarmate	as
onderbrengen	to accommodate, to lodge
opvang	care
trek	appetite
inhoudelijk	substantive, concerning content
onthullen	to reveal
overgang	transition
voorziening	facility
snelweg	motorway
discipline	discipline
particulier	private
slopen	to demolish
uitrekenen	to calculate
enkel	ankle
filosofie	philosophy
oranje	orange
part	part
steevast	invariably
verschijnsel	phenomenon
verstrekken	to provide
bevoegd	competent
smaken	to taste
verbranden	to burn
voorgaan	to let go first
illusie	illusion
neiging	tendency
stal	stable
verlichting	light(ing)
wijken	to disappear
hoofdredacteur	editor-in-chief
volhouden	to maintain
wacht	1) watch 2) guard
zakelijk	business
afzonderlijk	separate
ondersteuning	support
toespraak	speech
waarnemen	to observe
goedkeuring	approval
installeren	to install
tijdstip	(point of/in) time
analyseren	to analyse
afwijken	to deviate
gids	guide
laden	to load
opruimen	to tidy up
opstand	rebellion
uitgangspunt	starting point
vocht	1) moisture 2) liquid
bevel	command
bloeien	to bloom
docent	teacher, lecturer
dreiging	threat
gedoe	hassle
lente	spring
minimum	minimum
beloning	reward
compenseren	to compensate
datzelfde	the same
dichter	poet
noot	a) note b) nut
paleis	palace
priester	priest
vluchteling	refugee
bladzijde	page
grootte	size
kaas	cheese
kleuter	infant
mentaliteit	mentality
ondergronds	underground
onwaarschijnlijk	unlikely
uitnodiging	invitation
verwijt	reproach
weerstand	resistance
afmaken	to finish
afval	waste
huwen	to marry
omtrent	about
verwerpen	to reject
interpretatie	interpretation
lading	load
redenering	reasoning
stoer	tough
tram	tram
versieren	to decorate
buurman	neighbour
intelligent	intelligent
kapitaal	capital
lawaai	noise
objectief	objective
rel	riot
zonde	sin
affaire	affair
begrijpelijk	understandable, comprehensible
biologisch	biological
communistisch	communist
dagblad	newspaper
flat	flat
kogel	bullet
schande	shame, disgrace
frustreren	to frustrate
opletten	to pay attention
persoonlijkheid	personality
traject	route
bioscoop	cinema
feestdag	holiday
integreren	to integrate
recept	recipe
rijp	ripe
ronduit	outright, simply
tijdig	timely
archief	archive
gitaar	guitar
put	well
rond	round
concentratie	concentration
dagen	a) to summon b) to dawn
koor	choir
neigen	to incline
oefening	exercise
schitteren	to shine
uithalen	a) to lash out b) to be up to
aanvoeren	to supply, to bring
glazen	glass
progressief	progressive
uitpakken	a) to unpack b) to turn out
vreemdeling	stranger
evengoed	as well
kweken	to cultivate, to grow
middernacht	midnight
munt	coin
opslaan	to store
uitdrukken	to stub out
afhangen	to depend
filmen	to film
overleggen	to consult
versnellen	to accelerate
verwoesten	to destroy
aantasten	to affect
bewerken	to work
doorvoeren	to carry out
feliciteren	to congratulate
fier	proud
handeling	action
weleens	sometimes, ever
zuur	acid
ambassadeur	ambassador
neutraal	neutral
nuchter	a) empty, sober b) plain
vooraan	in front
fataal	fatal
intellectueel	intellectual
maandelijks	monthly
mode	fashion
verkondigen	to proclaim, to put forward
woonplaats	residence
beslist	decisive, resolute
bovenaan	at the top
dijk	dike
gieten	to pour
misverstand	misunderstanding
omkomen	to die
trouw	faith(fulness)
afvoeren	to transport
eng	scary
ontploffen	to explode
rang	rank
richtlijn	guideline
ruilen	to exchange
straf	hard
deugd	virtue
discussiëren	to discuss
essentieel	essential
evident	evident
genezen	to cure
inrichting	design
jaloers	jealous
motto	motto
naïef	naive
nicht	niece, cousin
plezant	amusing
gruwelijk	horrible
kabel	cable
schaap	sheep
tienduizend	ten thousand
zolang	as long as
aanraden	to recommend
bui	shower, rain
medewerking	collaboration
opinie	opinion
piano	piano
afwisselen	to alternate
financiering	financing
merendeel	most, majority
receptie	reception
sedert	since
staking	strike
verschaffen	to provide
versturen	to send
voltooien	to complete
absurd	absurd
communiceren	to communicate
levenslang	lifelong
signaleren	to signal, to observe
vet	fat
zogezegd	so to speak
afgeven	to deliver
bijnaam	nickname
verbouwen	a) to renovate b) to cultivate
bedriegen	to cheat
code	code
herfst	autumn
meespelen	to take part, to play
orkest	orchestra
uiting	expression
verdienste	merit
bisschop	bishop
onnodig	unnecessary
profiel	profile
toestaan	to allow
transport	transport
beledigen	to offend
compromis	compromise
motivatie	motivation
pint	pint, (glass of) beer
reëel	real
zinloos	meaningless
zout	salt
aanstaand	next, this
buis	tube
deftig	distinguished
fascineren	to fascinate
inval	raid
opdoen	to gain
passage	passage
schooljaar	school year
weekblad	weekly magazine
filosoof	philosopher
industrieel	industrial
ingenieur	engineer
voorraad	stock
muis	mouse
baat	benefit
bakker	baker
front	front
logica	logic
overeenkomen	to correspond, to match
voorschrijven	to prescribe
aanslaan	a) to be successful b) to tax
beogen	to aim
betwijfelen	to doubt
onderdak	accommodation, shelter
staf	a) staff (object) b) staff (people)
telefonisch	telephonic
verschuiven	to move
zilver	silver
bespreking	discussion
fuif	party
illustreren	to illustrate
nagaan	to check
raadplegen	to consult
soepel	flexible, smooth
vrijkomen	a) to be set free b) to be released
zonnig	sunny
ambassade	embassy
bevriend	friendly
doodschieten	to shoot (dead)
homo	gay
patroon	pattern
planeet	planet
toewijzen	to assign
uitzetten	a) to turn off b) to deport, to throw out
afkomen	to come down
afleveren	to deliver
alvorens	before
leeuw	lion
systematisch	systematic
verdrijven	to expel
verwennen	to pamper
waardering	appreciation
alleenstaand	single
eenmalig	one-off
eenzelfde	same
haken	to catch, to hook
onderaan	at the bottom
terugbrengen	to return
uitbouwen	to extend
vondst	find
weghalen	to remove
uittrekken	to take off
dienstverlening	service(s)
immens	immense
korting	discount
stroming	current, movement
verkrachten	to rape
vliegveld	airport
beletten	to prevent
benadering	approximation, approach
consequentie	consequence
fungeren	to function
helling	slope
politieagent	police officer
ras	race, breed
relevant	relevant
stempel	stamp
uitvinden	to invent
werkgroep	working group
afstuderen	to graduate
bekleden	to occupy
kroon	crown
schrijfster	writer, authoress
tegenvallen	to disappoint
toer	tour
vergezellen	to accompany
verkennen	to explore
achterkant	back
bekomen	to recover
expliciet	explicit
minst	least
opera	opera
service	service
middeleeuws	medieval
object	object
overschot	surplus
psychisch	psychological
rijkdom	wealth
suiker	sugar
tegendeel	opposite
vergoeden	to reimburse
aanbieding	offer
ban	ban
bijhouden	to keep (up)
depressie	depression
graven	to dig
marge	margin
onszelf	ourselves
opa	grandpa
virus	virus
biografie	biography
overdragen	to pass on, to transfer
schandaal	scandal
advertentie	advertisement
bewaken	to guard
bundel	edited volume
herkomst	origin
klooster	monastery
peil	level
stadium	stage
berekening	calculation
continu	continuous
monster	a) monster b) sample
paspoort	passport
tunnel	tunnel
tweetal	two
lekken	to leak
onbegrijpelijk	incomprehensible
onderwerpen	to subject
pakweg	roughly
subtiel	subtle
triest	sad
verzoeken	to request
waardig	worthy
Bijbel	bible
bijwonen	to attend
geldig	valid
meevallen	to turn out not too bad
pond	pound
sloot	ditch
verwaarlozen	to neglect
aanvang	commencement
cliché	cliché
ophangen	to hang
orgaan	organ
rechtvaardigen	to justify
tropisch	tropical
bon	a) coupon b) ticket
citaat	quote
comfortabel	comfortable
continent	continent
formaat	format
identificeren	to identify
indertijd	at the time
kunstmatig	artificial
landgenoot	countryman
taboe	taboo
theoretisch	theoretical
verhuren	to let
welvaart	prosperity
willekeurig	arbitrary
herhaaldelijk	repeatedly
pensioneren	to retire
wederzijds	mutual
wegnemen	to take away
academie	academy
gehandicapt	handicapped
hekel	dislike
ietwat	somewhat
ongewenst	unwanted, undesirable
overhouden	to have left
pastoor	pastor
schriftelijk	written
teleurstelling	disappointment
agressie	aggression
andersom	vice versa
opblazen	to blow
platteland	countryside
rot	a) rotten b) rotten, awful
universitair	university
verwelkomen	to welcome
wraak	revenge
aankunnen	to manage
aap	monkey
actualiteit	current event
beleggen	a) to convene b) to invest
besmetten	to infect
bevelen	to order, to command
bewonen	to live in, to inhabit
cool	cool
diplomatiek	diplomatic
geregeld	regularly
huur	rent
sympathiek	sympathetic
toneelstuk	play
trakteren	to treat
variatie	variation
wc	toilet
wederom	again
werkdag	working day
afgaan	a) to fail b) to go off
gehoor	hearing
invallen	to stand in
mits	provided that
tijdperk	era
T-shirt	T-shirt
allesbehalve	anything but
consequent	consistent
politieman	policeman
software	software
uitsterven	to die (out)
allerhande	all kinds of
bevriezen	to freeze
fragment	fragment
sympathie	sympathy
vooroordeel	prejudice
begeleider	supervisor
hogeschool	college
integraal	integral
lof	praise
opbouw	construction
oversteken	to cross
problematiek	problems
uitvoerig	detailed
verkoper	seller
waartoe	to which
aanmoedigen	to encourage
achterin	in the back
bestand	a) file b) truce
ongeacht	regardless
ontlenen	to derive
overstappen	to change over
vijver	pond
voorval	incident
weduwe	widow
wegleggen	to put away
aanrichten	to cause
bijstaan	to assist
overwinnen	to overcome
schijf	a) slice b) disk
vorst	1) monarch 2) frost
bevestiging	confirmation
fatsoenlijk	decent
geruim	considerable
kledij	clothing
planten	to plant
proper	tidy, clean
restaureren	to restore
zelfvertrouwen	self-confidence
hopeloos	hopeless
